Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG,HittingTeamId
Shohei Ohtani,LAD,UT,TSN,30,,,,,,,,,,,,,,,
Bobby Witt Jr.,KC,SS,CASH,24,,,,,,,,,,,,,,,
Jose Ramirez,CLE,3B,OCNM,32,,,,,,,,,,,,,,,
Elly De La Cruz,CIN,SS,JCR,23,,,,,,,,,,,,,,,
Francisco Lindor,NYM,SS,JCR,31,,,,,,,,,,,,,,,
Aaron Judge,NYY,OF,TSN,32,,,,,,,,,,,,,,,
Kyle Tucker,CHC,OF,GOV,28,,,,,,,,,,,,,,,
Gunnar Henderson,BAL,SS,OCNM,23,,,,,,,,,,,,,,,
Corbin Carroll,ARI,OF,MSBT,24,,,,,,,,,,,,,,,
Jackson Chourio,MIL,OF,BLUE,20,,,,,,,,,,,,,,,
Julio Rodriguez,SEA,OF,GOV,24,,,,,,,,,,,,,,,
Juan Soto,NYM,OF,TBBC,26,,,,,,,,,,,,,,,
Fernando Tatis Jr.,SD,OF,JCR,26,,,,,,,,,,,,,,,
Mookie Betts,LAD,"SS,OF",FA,32,,,,,,,,,,,,,,,
Jarren Duran,BOS,OF,BBBB,28,,,,,,,,,,,,,,,
Trea Turner,PHI,SS,BBBB,31,,,,,,,,,,,,,,,
Manny Machado,SD,3B,FA,32,,,,,,,,,,,,,,,
Kyle Schwarber,PHI,UT,IRM,32,,,,,,,,,,,,,,,
Pete Alonso,NYM,1B,BBBB,30,,,,,,,,,,,,,,,
Matt Olson,ATL,1B,JCR,30,,,,,,,,,,,,,,,
Christian Walker,HOU,1B,BLUE,33,,,,,,,,,,,,,,,
Jose Altuve,HOU,2B,TBBC,34,,,,,,,,,,,,,,,
Marcus Semien,TEX,2B,OCNM,34,,,,,,,,,,,,,,,
Brent Rooker,ATH,UT,OCNM,30,,,,,,,,,,,,,,,
Bryce Harper,PHI,1B,JCR,32,,,,,,,,,,,,,,,
Anthony Volpe,NYY,SS,FA,23,,,,,,,,,,,,,,,
Yordan Alvarez,HOU,OF,OCNM,27,,,,,,,,,,,,,,,
CJ Abrams,WSH,SS,MSBT,24,,,,,,,,,,,,,,,
Vladimir Guerrero Jr.,TOR,1B,VLAD,25,,,,,,,,,,,,,,,
Brenton Doyle,COL,OF,IRM,26,,,,,,,,,,,,,,,
Austin Riley,ATL,3B,GOV,27,,,,,,,,,,,,,,,
Marcell Ozuna,ATL,UT,MSBT,34,,,,,,,,,,,,,,,
Teoscar Hernandez,LAD,OF,MMAS,32,,,,,,,,,,,,,,,
Anthony Santander,TOR,OF,VLAD,30,,,,,,,,,,,,,,,
Adolis Garcia,TEX,OF,OCNM,32,,,,,,,,,,,,,,,
Rafael Devers,BOS,3B,BBBB,28,,,,,,,,,,,,,,,
Freddie Freeman,LAD,1B,FA,35,,,,,,,,,,,,,,,
Jazz Chisholm Jr.,NYY,"3B,OF",CASH,27,,,,,,,,,,,,,,,
Jackson Merrill,SD,OF,BBBB,21,,,,,,,,,,,,,,,
Corey Seager,TEX,SS,FA,30,,,,,,,,,,,,,,,
Willy Adames,SF,SS,TBBC,29,,,,,,,,,,,,,,,
Ketel Marte,ARI,2B,MSBT,31,,,,,,,,,,,,,,,
Ronald Acuna Jr.,ATL,OF,TSN,27,,,,,,,,,,,,,,,
Ian Happ,CHC,OF,FA,30,,,,,,,,,,,,,,,
William Contreras,MIL,C,GOV,27,,,,,,,,,,,,,,,
Wyatt Langford,TEX,OF,FA,23,,,,,,,,,,,,,,,
Dansby Swanson,CHC,SS,VLAD,31,,,,,,,,,,,,,,,
Spencer Steer,CIN,"1B,OF",FA,27,,,,,,,,,,,,,,,
Ozzie Albies,ATL,2B,IRM,28,,,,,,,,,,,,,,,
Bryan Reynolds,PIT,OF,FA,30,,,,,,,,,,,,,,,
Matt McLain,CIN,"2B,SS",BLUE,25,,,,,,,,,,,,,,,
Cal Raleigh,SEA,C,TSN,28,,,,,,,,,,,,,,,
Randy Arozarena,SEA,OF,FA,30,,,,,,,,,,,,,,,
Oneil Cruz,PIT,"SS,OF",TSN,26,,,,,,,,,,,,,,,
Josh Naylor,ARI,1B,TSN,27,,,,,,,,,,,,,,,
Ezequiel Tovar,COL,SS,CASH,23,,,,,,,,,,,,,,,
Christian Yelich,MIL,OF,VLAD,33,,,,,,,,,,,,,,,
Maikel Garcia,KC,"2B,3B",BLUE,25,,,,,,,,,,,,,,,
Nick Castellanos,PHI,OF,FA,33,,,,,,,,,,,,,,,
Michael Harris II,ATL,OF,TBBC,23,,,,,,,,,,,,,,,
Jeremy Pena,HOU,SS,BLUE,27,,,,,,,,,,,,,,,
Christopher Morel,TB,"2B,3B",FA,25,,,,,,,,,,,,,,,
Lawrence Butler,ATH,OF,FA,24,,,,,,,,,,,,,,,
Brice Turang,MIL,2B,BLUE,25,,,,,,,,,,,,,,,
Triston Casas,BOS,1B,VLAD,25,,,,,,,,,,,,,,,
Paul Goldschmidt,NYY,1B,TBBC,37,,,,,,,,,,,,,,,
Alex Bregman,BOS,3B,TBBC,30,,,,,,,,,,,,,,,
Eugenio Suarez,ARI,3B,FA,33,,,,,,,,,,,,,,,
Max Muncy,LAD,3B,IRM,34,,,,,,,,,,,,,,,
Cody Bellinger,NYY,"1B,OF",BLUE,29,,,,,,,,,,,,,,,
James Wood,WSH,OF,BBBB,22,,,,,,,,,,,,,,,
Zach Neto,LAA,SS,MMAS,24,,,,,,,,,,,,,,,
Seiya Suzuki,CHC,OF,OCNM,30,,,,,,,,,,,,,,,
Andres Gimenez,TOR,2B,FA,26,,,,,,,,,,,,,,,
Nico Hoerner,CHC,2B,MMAS,27,,,,,,,,,,,,,,,
Jake Burger,TEX,"1B,3B",VLAD,28,,,,,,,,,,,,,,,
Dylan Crews,WSH,OF,TSN,23,,,,,,,,,,,,,,,
Yainer Diaz,HOU,C,FA,26,,,,,,,,,,,,,,,
Brandon Nimmo,NYM,OF,FA,31,,,,,,,,,,,,,,,
Connor Norby,MIA,3B,GOV,24,,,,,,,,,,,,,,,
Adley Rutschman,BAL,C,IRM,27,,,,,,,,,,,,,,,
Matt Chapman,SF,3B,JCR,31,,,,,,,,,,,,,,,
Taylor Ward,LAA,OF,FA,31,,,,,,,,,,,,,,,
Masyn Winn,STL,SS,GOV,22,,,,,,,,,,,,,,,
Josh Lowe,TB,OF,TSN,27,,,,,,,,,,,,,,,
Steven Kwan,CLE,OF,TBBC,27,,,,,,,,,,,,,,,
George Springer,TOR,OF,FA,35,,,,,,,,,,,,,,,
Riley Greene,DET,OF,MMAS,24,,,,,,,,,,,,,,,
Bryson Stott,PHI,2B,TBBC,27,,,,,,,,,,,,,,,
Jose Caballero,TB,"2B,3B,SS",FA,28,,,,,,,,,,,,,,,
Will Smith,LAD,C,MSBT,29,,,,,,,,,,,,,,,
Luis Robert Jr.,CHW,OF,BBBB,27,,,,,,,,,,,,,,,
Isaac Paredes,HOU,3B,MMAS,26,,,,,,,,,,,,,,,
Nolan Arenado,STL,3B,FA,33,,,,,,,,,,,,,,,
Xander Bogaerts,SD,"2B,SS",FA,32,,,,,,,,,,,,,,,
Gleyber Torres,DET,2B,FA,28,,,,,,,,,,,,,,,
Shea Langeliers,ATH,C,JCR,27,,,,,,,,,,,,,,,
Nolan Gorman,STL,2B,FA,24,,,,,,,,,,,,,,,
Pete Crow-Armstrong,CHC,OF,FA,22,,,,,,,,,,,,,,,
Alec Bohm,PHI,3B,TBBC,28,,,,,,,,,,,,,,,
Nathaniel Lowe,WSH,1B,IRM,29,,,,,,,,,,,,,,,
Ceddanne Rafaela,BOS,"SS,OF",JCR,24,,,,,,,,,,,,,,,
Jonathan India,KC,2B,FA,28,,,,,,,,,,,,,,,
Willi Castro,MIN,"2B,3B,SS,OF",FA,27,,,,,,,,,,,,,,,
Alec Burleson,STL,OF,VLAD,26,,,,,,,,,,,,,,,
Parker Meadows,DET,OF,GOV,25,,,,,,,,,,,,,,,
Junior Caminero,TB,3B,FA,21,,,,,,,,,,,,,,,
Colton Cowser,BAL,OF,MMAS,24,,,,,,,,,,,,,,,
Mark Vientos,NYM,3B,TSN,25,,,,,,,,,,,,,,,
Jurickson Profar,ATL,OF,MSBT,32,,,,,,,,,,,,,,,
Tommy Edman,LAD,"OF,UT",FA,29,,,,,,,,,,,,,,,
Lane Thomas,CLE,OF,FA,29,,,,,,,,,,,,,,,
Vinnie Pasquantino,KC,1B,FA,27,,,,,,,,,,,,,,,
Salvador Perez,KC,"C,1B",FA,34,,,,,,,,,,,,,,,
Jasson Dominguez,NYY,OF,CASH,22,,,,,,,,,,,,,,,
Dylan Moore,SEA,"2B,3B,SS,OF",FA,32,,,,,,,,,,,,,,,
Wilyer Abreu,BOS,OF,FA,25,,,,,,,,,,,,,,,
Tyler Fitzgerald,SF,SS,FA,27,,,,,,,,,,,,,,,
Logan O'Hoppe,LAA,C,FA,25,,,,,,,,,,,,,,,
Jake Cronenworth,SD,"1B,2B",FA,31,,,,,,,,,,,,,,,
Xavier Edwards,MIA,SS,FA,25,,,,,,,,,,,,,,,
Brendan Donovan,STL,"2B,OF",FA,28,,,,,,,,,,,,,,,
Michael Busch,CHC,1B,FA,27,,,,,,,,,,,,,,,
Thairo Estrada,COL,2B,FA,29,,,,,,,,,,,,,,,
Lourdes Gurriel Jr.,ARI,OF,MSBT,31,,,,,,,,,,,,,,,
Carlos Santana,CLE,1B,FA,38,,,,,,,,,,,,,,,
Rhys Hoskins,MIL,1B,FA,31,,,,,,,,,,,,,,,
Jake McCarthy,ARI,OF,FA,27,,,,,,,,,,,,,,,
Bo Bichette,TOR,SS,GOV,27,,,,,,,,,,,,,,,
Zack Gelof,ATH,2B,FA,25,,,,,,,,,,,,,,,
Andrew Vaughn,CHW,1B,FA,26,,,,,,,,,,,,,,,
Luis Garcia,WSH,2B,OCNM,24,,,,,,,,,,,,,,,
Matt Shaw,CHC,"2B,3B,SS",BBBB,23,,,,,,,,,,,,,,,
Cedric Mullins,BAL,OF,BBBB,30,,,,,,,,,,,,,,,
Heliot Ramos,SF,OF,FA,25,,,,,,,,,,,,,,,
Mike Trout,LAA,OF,FA,33,,,,,,,,,,,,,,,
Kerry Carpenter,DET,OF,FA,27,,,,,,,,,,,,,,,
Jordan Westburg,BAL,"2B,3B",GOV,26,,,,,,,,,,,,,,,
Jorge Soler,LAA,"OF,UT",FA,33,,,,,,,,,,,,,,,
Yandy Diaz,TB,1B,FA,33,,,,,,,,,,,,,,,
Ryan McMahon,COL,3B,CASH,30,,,,,,,,,,,,,,,
Garrett Mitchell,MIL,OF,FA,26,,,,,,,,,,,,,,,
JJ Bleday,ATH,OF,FA,27,,,,,,,,,,,,,,,
Spencer Horwitz,PIT,"1B,2B",FA,27,,,,,,,,,,,,,,,
Tyler O'Neill,BAL,OF,BLUE,29,,,,,,,,,,,,,,,
Jesus Sanchez,MIA,OF,FA,27,,,,,,,,,,,,,,,
Trevor Story,BOS,SS,FA,32,,,,,,,,,,,,,,,
Carlos Correa,MIN,SS,FA,30,,,,,,,,,,,,,,,
Willson Contreras,STL,C,TBBC,32,,,,,,,,,,,,,,,
Joc Pederson,TEX,UT,FA,32,,,,,,,,,,,,,,,
Luis Arraez,SD,"1B,2B",FA,27,,,,,,,,,,,,,,,
Tyler Stephenson,CIN,C,FA,28,,,,,,,,,,,,,,,
Jonathan Aranda,TB,1B,FA,26,,,,,,,,,,,,,,,
Ryan Mountcastle,BAL,1B,GOV,28,,,,,,,,,,,,,,,
Josh Bell,WSH,1B,FA,32,,,,,,,,,,,,,,,
Luis Rengifo,LAA,"2B,3B",TSN,28,,,,,,,,,,,,,,,
Keibert Ruiz,WSH,C,FA,26,,,,,,,,,,,,,,,
J.T. Realmuto,PHI,C,FA,33,,,,,,,,,,,,,,,
Victor Robles,SEA,OF,JCR,27,,,,,,,,,,,,,,,
