Name,OriginalSalary,AdjustedSalary,AuctionSalary
Shohei Ohtani ,55.8147098,63.32255499,46.5
Aaron Judge ,50.29837721,57.44626316,27
Bobby Witt Jr. ,44.20652092,50.85975447,16
Fernando Tatis Jr. ,39.06576033,45.22052448,30.5
Juan Soto ,36.88504209,42.80555483,27.5
Jose Ramirez,36.07334513,41.90316054,31.5
Yordan Alvarez ,35.55713087,41.32827178,20.5
Elly De La Cruz ,35.34864697,41.09587148,8
Ronald Acuna Jr.,34.13217475,39.73732617,27
Julio Rodriguez,34.04065563,39.63494376,22.5
Vladimir Guerrero Jr. ,33.92972503,39.5108129,25.5
Gunnar Henderson ,33.84141144,39.41196464,8
Mookie Betts ,32.98550604,40.08868107,
Corbin Carroll ,31.64233848,36.94319096,11.5
Kyle Tucker ,31.1034385,36.33602599,26.5
Bryce Harper ,30.74844907,35.93559922,31
Freddie Freeman ,28.66568077,34.80953144,
Rafael Devers ,27.9687946,32.7872143,30.5
Trea Turner ,27.80152995,32.59702593,36
Francisco Lindor ,27.65039946,32.42511084,47
Michael Harris II ,27.09639545,31.79433007,10
Austin Riley ,26.29220262,30.87704641,20.5
Brent Rooker ,26.29038897,30.87497552,3
Jackson Merrill ,25.48727465,29.95697205,5.5
Jackson Chourio ,24.76202596,29.1262974,13
Manny Machado ,23.82171517,28.88984312,
Teoscar Hernandez,23.52416403,27.70480592,16
Matt Olson ,23.26534187,27.40699948,40
Jazz Chisholm Jr. ,22.64835282,26.69625366,14.5
Anthony Santander ,22.23656963,26.22124887,11.5
William Contreras ,22.09258514,26.05503573,7.5
Ketel Marte ,21.45438176,25.31753951,9.5
Pete Alonso ,20.96487198,24.7510229,26.5
Marcell Ozuna ,20.88398904,24.65734494,6
Kyle Schwarber ,20.25365491,23.92660624,30
Jarren Duran ,20.1220764,23.7739142,6
Wyatt Langford ,20.08006967,24.31727243,
Luis Robert Jr. ,19.69038066,23.27257137,25.5
Oneil Cruz ,19.15945541,22.65519904,13
Lawrence Butler ,19.03300233,23.03767781,
Brenton Doyle ,18.58432797,21.98544092,3
Jose Altuve ,18.3355888,21.6954562,35
Mark Vientos ,17.92511146,21.21649306,3
Ozzie Albies ,17.74618061,21.00754434,36
Ezequiel Tovar ,16.92454187,20.04678236,5.5
Corey Seager ,16.6020456,20.06686684,
Christian Walker ,16.18267476,19.17748473,9
Yainer Diaz ,15.99073602,19.3198008,
Alex Bregman ,15.82392641,18.75649488,25.5
Matt McLain ,15.68838219,18.59732901,11.5
Salvador Perez ,15.5447948,18.77482727,
Cody Bellinger ,15.42369584,18.28634844,16
Junior Caminero ,15.00444381,18.11447794,
Josh Naylor ,14.86608916,17.63049315,10
James Wood ,14.82172505,17.57827011,10.5
Steven Kwan ,14.67840114,17.4095145,4
Riley Greene ,14.63680641,17.36052698,13.5
CJ Abrams ,14.57075298,17.28272238,16.5
Adolis Garcia,14.41289854,17.09672917,14.5
Marcus Semien ,14.33241171,17.00186463,18
Vinnie Pasquantino ,13.85167507,16.70570831,
Ian Happ ,13.78500732,16.62423533,
Paul Goldschmidt ,13.5621631,16.09298629,28.5
Bryan Reynolds ,13.45939804,16.22631643,
Bo Bichette ,13.42075501,15.92592322,27
Jake Burger ,13.37079553,15.86688468,6
Randy Arozarena ,13.10204608,15.78960561,
Willy Adames ,13.05138263,15.48923799,13
Matt Chapman ,12.89392016,15.30294844,3
Yandy Diaz,12.78710911,15.40472907,
Jasson Dominguez,12.63133541,14.99211619,17
Christian Yelich ,12.61525226,14.97307078,31
Mike Trout ,12.53900283,15.10152464,
Cal Raleigh ,12.44379857,14.76998683,4
Willson Contreras ,12.28154826,14.57771789,5
Anthony Volpe ,11.89121671,14.30988154,
Jeremy Pena,11.76753091,13.96804559,3
Royce Lewis ,11.27434777,13.38229116,11
Dansby Swanson ,10.90331583,12.94110278,18
Zach Neto ,10.69873001,12.6976442,7
Masyn Winn ,10.49309639,12.4528034,6
Alec Bohm ,10.46105474,12.41464031,9
Nick Castellanos ,10.36220399,12.44131362,
