Name,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Aaron Judge,159,686,558,156,49,114,124,116,6,8,0.278517
Bobby Witt Jr.,159,686,623,182,30,108,101,50,6,32,0.291997
Gunnar Henderson,157,679,592,162,31,108,95,75,6,17,0.274217
Juan Soto,159,686,542,151,35,113,100,135,4,8,0.279308
Julio Rodríguez,157,679,618,172,29,95,92,48,9,28,0.277957
Mookie Betts,157,679,583,163,28,109,94,84,7,15,0.280158
Francisco Lindor,159,686,607,157,28,101,89,63,10,23,0.258757
Shohei Ohtani,151,651,561,160,42,119,116,79,5,36,0.285237
Fernando Tatis Jr.,152,658,590,163,37,104,101,57,7,19,0.276828
José Ramírez,156,672,598,164,30,96,102,64,4,29,0.274674
Yordan Alvarez,141,609,522,157,36,94,104,73,10,3,0.301148
Cal Raleigh,146,584,517,117,30,71,85,58,4,3,0.226656
Patrick Bailey,128,506,455,108,12,54,52,42,3,4,0.236379
Michael Harris II,146,630,584,170,24,87,86,35,7,18,0.290543
Ronald Acuña Jr.,128,553,474,139,25,101,73,66,8,39,0.2928
Elly De La Cruz,154,665,595,154,25,98,88,62,5,54,0.258068
Jackson Merrill,154,665,616,172,25,84,94,39,3,15,0.279605
Corey Seager,126,546,481,136,28,79,80,55,5,2,0.282237
Vladimir Guerrero Jr.,157,679,597,175,32,98,102,71,6,5,0.294009
William Contreras,156,626,551,150,23,83,83,68,4,7,0.271693
Kyle Tucker,154,665,575,155,30,96,95,82,2,21,0.269768
Adley Rutschman,146,586,511,133,18,74,68,66,4,2,0.260614
Bryce Harper,154,665,568,160,31,95,99,87,4,10,0.281857
Austin Riley,157,679,607,164,32,96,98,56,10,2,0.270738
Trea Turner,156,672,620,175,23,97,81,41,6,24,0.282232
Ketel Marte,147,637,558,153,26,92,87,67,6,7,0.274099
Matt Chapman,157,679,595,143,26,86,83,71,8,10,0.240571
Freddie Freeman,154,665,576,168,24,97,92,74,9,11,0.292184
Dansby Swanson,157,679,610,149,21,83,79,60,4,15,0.244791
Marcus Semien,154,665,597,151,23,94,76,60,4,10,0.252282
Riley Greene,147,637,562,150,22,86,78,67,5,6,0.26797
Gabriel Moreno,128,507,449,127,10,58,59,49,4,6,0.282865
Corbin Carroll,156,672,583,151,23,108,84,70,11,38,0.259389
Andrés Giménez,147,637,579,153,14,71,70,33,18,27,0.264814
Willy Adames,156,672,597,145,24,83,84,67,3,14,0.242695
Manny Machado,154,665,605,161,30,84,101,53,2,8,0.26609
Carlos Correa,130,560,491,132,20,74,69,60,5,1,0.269366
Steven Kwan,156,672,592,168,11,93,61,68,5,18,0.283295
Isaac Paredes,141,609,521,127,25,75,84,70,14,2,0.243246
Wyatt Langford,143,616,548,147,22,83,85,59,5,19,0.267802
Alejandro Kirk,110,436,385,103,10,42,49,43,4,1,0.266804
Anthony Volpe,157,679,611,147,18,83,75,55,7,28,0.241128
Rafael Devers,157,679,598,161,33,97,100,69,7,4,0.268916
Jazz Chisholm Jr.,141,609,548,136,27,83,83,51,5,35,0.248932
Brent Rooker,149,644,568,147,38,86,101,63,8,8,0.25782
Xander Bogaerts,149,644,580,154,17,74,71,52,6,13,0.265625
Bo Bichette,144,623,579,162,18,80,74,36,4,10,0.280057
Alex Bregman,157,679,598,155,24,88,89,68,8,3,0.259679
Jordan Westburg,134,581,529,138,20,74,79,40,8,8,0.259938
Mike Trout,120,518,446,114,28,77,73,61,7,9,0.254968
Francisco Alvarez,123,488,433,101,22,59,68,45,5,2,0.234177
Matt McLain,138,595,523,135,23,82,79,59,9,18,0.257194
Zach Neto,130,560,500,126,21,72,72,39,16,23,0.252068
Mark Vientos,154,665,602,150,32,82,100,52,6,1,0.249264
Masyn Winn,154,665,607,157,16,88,70,47,4,14,0.257944
Nico Hoerner,130,560,509,140,8,67,54,38,9,26,0.275933
Jacob Wilson,128,553,507,145,9,71,59,32,7,4,0.286558
Junior Caminero,146,630,581,152,27,75,91,40,5,4,0.261316
Jeremy Peña,157,679,627,163,18,79,76,36,11,17,0.260505
Jarren Duran,152,658,597,157,18,93,74,50,6,28,0.262617
Oneil Cruz,146,630,565,144,26,83,86,56,4,20,0.254775
Lawrence Butler,149,644,585,148,26,87,80,51,2,20,0.25302
Brandon Lowe,123,532,471,113,25,72,74,50,7,6,0.240447
Matt Olson,159,686,593,149,34,92,104,81,6,1,0.251548
Austin Wells,117,462,407,94,17,52,59,45,6,4,0.230171
Will Smith,126,501,434,109,19,65,66,51,10,2,0.250556
Royce Lewis,133,574,518,129,26,75,84,47,4,7,0.249307
Yandy Díaz,152,658,580,167,18,83,72,66,6,1,0.287771
Nolan Arenado,152,658,599,156,22,72,86,47,6,3,0.260512
Christian Walker,151,651,571,136,31,83,97,65,9,5,0.237277
Ozzie Albies,152,658,601,158,23,86,87,44,7,12,0.263407
Ezequiel Tovar,159,686,645,169,24,83,89,29,5,9,0.261466
Jung Hoo Lee,143,616,562,161,11,68,69,45,5,6,0.286612
Ian Happ,156,672,581,143,23,88,80,79,7,12,0.24698
Anthony Santander,156,672,602,149,36,86,103,57,8,2,0.246925
J.P. Crawford,141,609,526,126,12,71,55,71,7,5,0.240074
Colton Cowser,130,560,488,120,20,75,71,59,8,8,0.246411
Jackson Chourio,149,644,591,158,24,88,84,44,4,27,0.268252
Jose Altuve,152,658,593,160,21,94,72,54,7,17,0.269352
James Wood,139,602,527,138,21,79,77,68,4,18,0.262678
Gleyber Torres,152,658,583,151,18,79,64,64,4,9,0.25896
Xavier Edwards,136,588,523,149,5,72,48,54,2,32,0.284852
Brandon Nimmo,134,581,502,126,17,76,67,65,10,8,0.25161
