Name,Team,Position,Status,Age,HittingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Jackson Chourio,MIL,OF,BLUE,20,,24.76202596,29.1262974,13,149,644,591,158,24,88,84,44,4,27,0.268252
Mookie Betts,LAD,"SS,OF",FA,32,,32.98550604,40.08868107,,157,679,583,163,28,109,94,84,7,15,0.280158
Manny Machado,SD,3B,FA,32,,23.82171517,28.88984312,,154,665,605,161,30,84,101,53,2,8,0.26609
Christian Walker,HOU,1B,BLUE,33,,16.18267476,19.17748473,9,151,651,571,136,31,83,97,65,9,5,0.237277
Anthony Volpe,NYY,SS,FA,23,,11.89121671,14.30988154,,157,679,611,147,18,83,75,55,7,28,0.241128
Freddie Freeman,LAD,1B,FA,35,,28.66568077,34.80953144,,154,665,576,168,24,97,92,74,9,11,0.292184
Corey Seager,TEX,SS,FA,30,,16.6020456,20.06686684,,126,546,481,136,28,79,80,55,5,2,0.282237
Ian Happ,CHC,OF,FA,30,,13.78500732,16.62423533,,156,672,581,143,23,88,80,79,7,12,0.24698
Wyatt Langford,TEX,OF,FA,23,,20.08006967,24.31727243,,143,616,548,147,22,83,85,59,5,19,0.267802
Spencer Steer,CIN,"1B,OF",FA,27,,0.734104436,0.675055731,,117,504,441,109,17,61,65,52,7,13,0.246654
Bryan Reynolds,PIT,OF,FA,30,,13.45939804,16.22631643,,149,644,573,151,22,80,80,57,9,8,0.264151
Matt McLain,CIN,"2B,SS",BLUE,25,,15.68838219,18.59732901,11.5,138,595,523,135,23,82,79,59,9,18,0.257194
Randy Arozarena,SEA,OF,FA,30,,13.10204608,15.78960561,,152,658,569,137,22,82,77,68,16,22,0.240969
Maikel Garcia,KC,"2B,3B",BLUE,25,,4.373903747,5.104252947,4,138,595,541,140,8,73,56,45,2,30,0.258191
Nick Castellanos,PHI,OF,FA,33,,10.36220399,12.44131362,,147,637,588,150,22,74,84,38,6,6,0.255788
Jeremy Pena,HOU,SS,BLUE,27,,11.76753091,13.96804559,3,157,679,627,163,18,79,76,36,11,17,0.260505
Christopher Morel,TB,"2B,3B",FA,25,,-1.282228965,-1.789054518,,117,504,448,104,22,61,66,47,5,9,0.231937
Lawrence Butler,ATH,OF,FA,24,,19.03300233,23.03767781,,149,644,585,148,26,87,80,51,2,20,0.25302
Brice Turang,MIL,2B,BLUE,25,,4.220157836,4.918044484,3,134,581,523,133,10,67,55,50,2,36,0.253569
Eugenio Suarez,ARI,3B,FA,33,,2.010459587,2.234857203,,141,609,537,125,23,70,78,56,10,2,0.233465
Cody Bellinger,NYY,"1B,OF",BLUE,29,,15.42369584,18.28634844,16,139,602,543,141,23,79,85,47,4,12,0.259534
Andres Gimenez,TOR,2B,FA,26,,10.12441802,12.15072137,,147,637,579,153,14,71,70,33,18,27,0.264814
Yainer Diaz,HOU,C,FA,26,,15.99073602,19.3198008,,143,574,539,151,21,68,81,25,4,1,0.279809
Brandon Nimmo,NYM,OF,FA,31,,4.212510772,4.925928477,,134,581,502,126,17,76,67,65,10,8,0.25161
Taylor Ward,LAA,OF,FA,31,,9.767068967,11.7140141,,149,644,567,142,23,79,78,63,8,6,0.249987
George Springer,TOR,OF,FA,35,,6.33427597,7.518884268,,141,609,543,131,20,76,70,56,6,14,0.242127
Jose Caballero,TB,"2B,3B,SS",FA,28,,-19.82195862,-24.44599103,,66,287,254,57,6,33,28,23,7,25,0.225179
Nolan Arenado,STL,3B,FA,33,,9.930466384,11.91369797,,152,658,599,156,22,72,86,47,6,3,0.260512
Xander Bogaerts,SD,"2B,SS",FA,32,,8.323524018,9.949894189,,149,644,580,154,17,74,71,52,6,13,0.265625
Gleyber Torres,DET,2B,FA,28,,5.717751085,6.765444739,,152,658,583,151,18,79,64,64,4,9,0.25896
Nolan Gorman,STL,2B,FA,24,,-1.026637539,-1.476702676,,113,490,440,100,25,61,68,44,3,6,0.226945
Pete Crow-Armstrong,CHC,OF,FA,22,,9.158005325,10.96969277,,130,560,512,126,16,72,68,33,8,30,0.246324
Jonathan India,KC,2B,FA,28,,1,1,,139,602,514,129,13,79,57,66,15,12,0.250854
Willi Castro,MIN,"2B,3B,SS,OF",FA,27,,2.247775765,2.524875325,,139,602,538,131,13,74,61,43,15,19,0.244105
Junior Caminero,TB,3B,FA,21,,15.00444381,18.11447794,,146,630,581,152,27,75,91,40,5,4,0.261316
Tommy Edman,LAD,"OF,UT",FA,29,,10.00954597,12.01033914,,141,609,555,140,15,78,69,42,6,25,0.252573
Lane Thomas,CLE,OF,FA,29,,9.495662863,11.38233554,,139,602,539,131,19,75,71,50,7,24,0.242669
Vinnie Pasquantino,KC,1B,FA,27,,13.85167507,16.70570831,,146,630,559,148,25,75,90,58,6,2,0.265721
Salvador Perez,KC,"C,1B",FA,34,,15.5447948,18.77482727,,149,612,563,147,26,66,88,33,11,0,0.260858
Dylan Moore,SEA,"2B,3B,SS,OF",FA,32,,-13.15364356,-16.2968112,,94,406,346,72,11,49,40,45,11,25,0.207882
Wilyer Abreu,BOS,OF,FA,25,,-3.247114914,-4.190292132,,110,476,418,102,16,60,59,51,3,9,0.243346
Tyler Fitzgerald,SF,SS,FA,27,,5.655151198,6.688942994,,136,588,536,125,20,73,73,39,9,19,0.233973
Logan O'Hoppe,LAA,C,FA,25,,-0.307074104,-0.597342332,,115,461,413,100,20,54,58,37,7,3,0.240968
Jake Cronenworth,SD,"1B,2B",FA,31,,-2.063148282,-2.743396341,,144,623,549,132,15,71,69,56,12,4,0.240274
Xavier Edwards,MIA,SS,FA,25,,6.127515337,7.266207308,,136,588,523,149,5,72,48,54,2,32,0.284852
Brendan Donovan,STL,"2B,OF",FA,28,,5.030794701,5.925932649,,138,595,524,146,13,73,63,54,12,6,0.279006
Michael Busch,CHC,1B,FA,27,,0.293371889,0.136447589,,128,553,485,116,20,71,69,58,7,2,0.239865
Thairo Estrada,COL,2B,FA,29,,-0.752239233,-1.14136742,,115,497,461,122,15,60,60,23,9,10,0.264726
Carlos Santana,CLE,1B,FA,38,,-3.450491788,-4.438833886,,136,588,514,117,20,64,70,66,4,3,0.227683
Rhys Hoskins,MIL,1B,FA,31,,1.183135805,1.223805653,,131,567,496,110,26,67,77,60,6,3,0.222518
Jake McCarthy,ARI,OF,FA,27,,3.093482297,3.558391971,,120,518,466,124,9,64,57,37,10,26,0.266401
Zack Gelof,ATH,2B,FA,25,,7.322652635,8.726754488,,146,630,571,131,22,73,73,50,4,25,0.229471
Andrew Vaughn,CHW,1B,FA,26,,5.572477414,6.587909446,,144,623,568,145,23,66,80,43,8,1,0.25498
