Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Paul Skenes,PIT,SP,BLUE,22,,40.11508505,47.02719336,19,11,20,3.00668,1.08539,31,0,0,0,174,214,11.0619,2.57281,0.294616,2.90155
Aaron Nola,PHI,SP,FA,31,,11.37098509,13.67411959,,12,17,3.83836,1.1652,31,0,0,0,188,185,8.85922,2.05682,0.292043,3.70448
Cole Ragans,KC,SP,BLUE,27,,12.86796048,15.33585434,32,12,18,3.509,1.23036,31,0,0,0,179,201,10.1138,3.36777,0.294539,3.49783
Luis Castillo,SEA,SP,FA,32,,16.53146013,19.98060611,,12,18,3.56023,1.16676,31,0,0,0,181,184,9.15106,2.56042,0.284316,3.70861
Gerrit Cole,NYY,SP,BLUE,34,,10.10240659,12.02491724,22.5,11,17,3.82315,1.16908,31,0,0,0,183,191,9.39608,2.49114,0.282763,3.90638
Brandon Pfaadt,ARI,SP,FA,26,,1.940558946,2.149433391,,9,11,3.91254,1.18827,33,0,1,1,138,136,8.8835,2.10905,0.296465,3.72741
Yoshinobu Yamamoto,LAD,SP,FA,26,,28.84909719,35.03368003,,12,16,3.45271,1.07946,28,0,0,0,163,169,9.35988,2.17841,0.280537,3.3843
Kevin Gausman,TOR,SP,FA,34,,5.841188468,6.916294455,,13,18,3.78718,1.22896,32,0,0,0,192,189,8.85422,2.51474,0.294977,3.75347
Mitch Keller,PIT,SP,BLUE,28,,-13.82326728,-17.38371412,9,10,16,4.13667,1.28269,31,0,0,0,180,163,8.13,2.72207,0.298347,4.04069
Luis Gil,NYY,SP,FA,26,,-13.60931167,-16.85367171,,7,9,4.17669,1.31837,32,0,1,1,114,128,10.0852,4.324,0.279177,4.31031
Brady Singer,CIN,SP,FA,28,,-23.71705067,-29.20608489,,9,14,4.53534,1.31091,29,0,0,0,167,159,8.61667,2.65985,0.30451,4.25206
Erick Fedde,STL,SP,FA,32,,-18.14907166,-22.40159802,,9,15,4.21055,1.31075,29,0,0,0,164,144,7.90907,2.81809,0.294133,4.27385
Spencer Schwellenbach,ATL,SP,FA,24,,11.40516409,13.71588888,,12,16,3.71006,1.17377,29,0,0,0,165,159,8.67197,2.07616,0.295694,3.66843
Tanner Houck,BOS,SP,FA,28,,-5.38623225,-6.804453534,,11,15,3.899,1.27179,40,0,1,1,178,160,8.07525,2.73091,0.304292,3.73435
Chris Bassitt,TOR,SP,FA,36,,-12.14928496,-15.06940986,,11,16,4.09031,1.29832,31,0,0,0,177,161,8.19078,3.06554,0.293002,4.21139
Carlos Rodon,NYY,SP,BLUE,32,,6.592593892,7.797103437,12,12,16,4.0079,1.18604,31,0,0,0,171,191,10.0402,2.84048,0.282688,3.96156
