Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,PitchingTeamid
Tarik Skubal,DET,SP,JCR,28,,,,,,,,,,,,,,,
Zack Wheeler,PHI,SP,TSN,34,,,,,,,,,,,,,,,
Paul Skenes,PIT,SP,BLUE,22,,,,,,,,,,,,,,,
Framber Valdez,HOU,SP,OCNM,31,,,,,,,,,,,,,,,
Logan Gilbert,SEA,SP,GOV,27,,,,,,,,,,,,,,,
Dylan Cease,SD,SP,OCNM,29,,,,,,,,,,,,,,,
Pablo Lopez,MIN,SP,VLAD,28,,,,,,,,,,,,,,,
Corbin Burnes,ARI,SP,CASH,30,,,,,,,,,,,,,,,
Aaron Nola,PHI,SP,FA,31,,,,,,,,,,,,,,,
Cole Ragans,KC,SP,BLUE,27,,,,,,,,,,,,,,,
Garrett Crochet,BOS,SP,TSN,25,,,,,,,,,,,,,,,
Luis Castillo,SEA,SP,FA,32,,,,,,,,,,,,,,,
Logan Webb,SF,SP,VLAD,28,,,,,,,,,,,,,,,
Blake Snell,LAD,SP,TSN,32,,,,,,,,,,,,,,,
Gerrit Cole,NYY,SP,BLUE,34,,,,,,,,,,,,,,,
Zac Gallen,ARI,SP,VLAD,29,,,,,,,,,,,,,,,
Hunter Brown,HOU,SP,GOV,26,,,,,,,,,,,,,,,
Shota Imanaga,CHC,SP,CASH,31,,,,,,,,,,,,,,,
Max Fried,NYY,SP,MMAS,31,,,,,,,,,,,,,,,
Michael King,SD,SP,TSN,29,,,,,,,,,,,,,,,
Chris Sale,ATL,SP,MSBT,35,,,,,,,,,,,,,,,
Sonny Gray,STL,SP,IRM,35,,,,,,,,,,,,,,,
Justin Steele,CHC,SP,TBBC,29,,,,,,,,,,,,,,,
George Kirby,SEA,SP,MSBT,27,,,,,,,,,,,,,,,
Joe Ryan,MIN,SP,CASH,28,,,,,,,,,,,,,,,
Brandon Pfaadt,ARI,SP,FA,26,,,,,,,,,,,,,,,
Tanner Bibee,CLE,SP,GOV,26,,,,,,,,,,,,,,,
Bailey Ober,MIN,SP,MMAS,29,,,,,,,,,,,,,,,
Jared Jones,PIT,SP,TSN,23,,,,,,,,,,,,,,,
Yoshinobu Yamamoto,LAD,SP,FA,26,,,,,,,,,,,,,,,
Kodai Senga,NYM,SP,MSBT,32,,,,,,,,,,,,,,,
Bryce Miller,SEA,SP,BBBB,26,,,,,,,,,,,,,,,
Freddy Peralta,MIL,SP,TBBC,28,,,,,,,,,,,,,,,
Kevin Gausman,TOR,SP,FA,34,,,,,,,,,,,,,,,
Hunter Greene,CIN,SP,IRM,25,,,,,,,,,,,,,,,
Mitch Keller,PIT,SP,BLUE,28,,,,,,,,,,,,,,,
Seth Lugo,KC,SP,TBBC,35,,,,,,,,,,,,,,,
Luis Gil,NYY,SP,FA,26,,,,,,,,,,,,,,,
Brady Singer,CIN,SP,FA,28,,,,,,,,,,,,,,,
Ronel Blanco,HOU,SP,OCNM,31,,,,,,,,,,,,,,,
Cristopher Sanchez,PHI,SP,OCNM,28,,,,,,,,,,,,,,,
Tyler Glasnow,LAD,SP,GOV,31,,,,,,,,,,,,,,,
Jack Flaherty,DET,SP,MMAS,29,,,,,,,,,,,,,,,
Erick Fedde,STL,SP,FA,32,,,,,,,,,,,,,,,
Grayson Rodriguez,BAL,SP,IRM,25,,,,,,,,,,,,,,,
Spencer Schwellenbach,ATL,SP,FA,24,,,,,,,,,,,,,,,
Tanner Houck,BOS,SP,FA,28,,,,,,,,,,,,,,,
Chris Bassitt,TOR,SP,FA,36,,,,,,,,,,,,,,,
Carlos Rodon,NYY,SP,BLUE,32,,,,,,,,,,,,,,,
Jose Berrios,TOR,SP,IRM,30,,,,,,,,,,,,,,,
Sean Manaea,NYM,SP,MSBT,33,,,,,,,,,,,,,,,
Taj Bradley,TB,SP,TBBC,23,,,,,,,,,,,,,,,
Zach Eflin,BAL,SP,TBBC,30,,,,,,,,,,,,,,,
Yusei Kikuchi,LAA,SP,TBBC,33,,,,,,,,,,,,,,,
Ranger Suarez,PHI,SP,JCR,29,,,,,,,,,,,,,,,
MacKenzie Gore,WSH,SP,GOV,26,,,,,,,,,,,,,,,
Luis Severino,ATH,SP,MMAS,31,,,,,,,,,,,,,,,
Brayan Bello,BOS,SP,FA,25,,,,,,,,,,,,,,,
Merrill Kelly,ARI,SP,FA,36,,,,,,,,,,,,,,,
Nestor Cortes Jr.,MIL,SP,IRM,30,,,,,,,,,,,,,,,
Aaron Civale,MIL,SP,FA,29,,,,,,,,,,,,,,,
Michael Wacha,KC,SP,FA,33,,,,,,,,,,,,,,,
Tobias Myers,MIL,SP,FA,26,,,,,,,,,,,,,,,
Charlie Morton,BAL,SP,FA,41,,,,,,,,,,,,,,,
Roki Sasaki,LAD,SP,FA,23,,,,,,,,,,,,,,,
Clarke Schmidt,NYY,SP,BBBB,29,,,,,,,,,,,,,,,
Jose Quintana,MIL,SP,FA,36,,,,,,,,,,,,,,,
Miles Mikolas,STL,SP,FA,36,,,,,,,,,,,,,,,
Shane Baz,TB,SP,TBBC,25,,,,,,,,,,,,,,,
Spencer Arrighetti,HOU,SP,FA,25,,,,,,,,,,,,,,,
Jake Irvin,WSH,SP,FA,28,,,,,,,,,,,,,,,
Ryan Pepiot,TB,SP,BBBB,27,,,,,,,,,,,,,,,
Bowden Francis,TOR,SP,FA,28,,,,,,,,,,,,,,,
Frankie Montas,NYM,SP,FA,31,,,,,,,,,,,,,,,
Nathan Eovaldi,TEX,SP,FA,35,,,,,,,,,,,,,,,
Nick Pivetta,SD,SP,FA,32,,,,,,,,,,,,,,,
Nick Martinez,CIN,RP,FA,34,,,,,,,,,,,,,,,
Devin Williams,NYY,RP,BBBB,30,,,,,,,,,,,,,,,
Bryan Woo,SEA,SP,FA,25,,,,,,,,,,,,,,,
Andrew Heaney,PIT,RP,FA,33,,,,,,,,,,,,,,,
Bryan Abreu,HOU,RP,JCR,27,,,,,,,,,,,,,,,
Reynaldo Lopez,ATL,SP,BBBB,31,,,,,,,,,,,,,,,
Mitchell Parker,WSH,SP,FA,25,,,,,,,,,,,,,,,
Reese Olson,DET,SP,BBBB,25,,,,,,,,,,,,,,,
Gavin Williams,CLE,SP,VLAD,25,,,,,,,,,,,,,,,
Emmanuel Clase,CLE,RP,GOV,26,,,,,,,,,,,,,,,
Kyle Gibson,(N/A),SP,FA,37,,,,,,,,,,,,,,,
