Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
A.J. Blubaugh,1,0,4.17512,1.32012,10,0,1,1,10,9,8.20979,3.25316,0.289694,4.2964
A.J. Minter,5,0,3.36925,1.16133,54,2,11,13,54,60,10.0447,2.9807,0.285148,3.48759
A.J. Puk,5,0,3.26342,1.17216,64,17,7,24,64,78,10.9272,3.1436,0.294592,3.31499
Aaron Ashby,4,2,4.03819,1.4329,42,0,1,1,64,63,8.83054,4.61417,0.298327,4.15427
Aaron Bummer,5,0,3.0264,1.25598,61,1,14,15,61,71,10.4223,3.60014,0.308664,2.91227
Aaron Civale,8,11,4.31435,1.27026,39,0,1,1,146,136,8.40993,2.68873,0.288004,4.41481
Aaron Nola,12,17,3.83836,1.1652,31,0,0,0,188,185,8.85922,2.05682,0.292043,3.70448
Abner Uribe,2,0,3.58771,1.33206,49,0,1,1,49,58,10.7204,5.12713,0.286307,3.80393
Adam Cimber,1,0,4.72632,1.36882,28,0,0,0,28,20,6.31721,3.01575,0.295757,4.74741
Adam Macko,0,1,4.625,1.41123,2,0,0,0,8,7,7.59792,3.81966,0.288955,4.79098
Adam Mazur,2,3,4.7298,1.38111,6,0,0,0,33,25,6.83456,2.80765,0.295958,4.65711
Adam Ottavino,2,0,4.18991,1.32745,44,0,1,1,44,45,9.26117,3.8434,0.298923,4.06588
Adrian Morejon,3,0,3.54386,1.23542,61,1,12,13,61,65,9.5258,3.17214,0.289379,3.64534
AJ Smith-Shawver,4,3,4.17161,1.30952,43,0,1,1,74,77,9.36033,3.62007,0.29087,4.18592
Alan Rangel,2,0,4.71793,1.33086,32,0,1,1,32,27,7.59116,3.01067,0.285801,4.67974
Albert Abreu,0,0,4.50237,1.4308,10,0,1,1,10,10,9.02205,4.22964,0.300708,4.57354
Albert Suárez,4,2,4.34476,1.33192,59,0,5,5,81,70,7.8735,2.7713,0.296796,4.42399
Alec Marsh,7,7,4.47772,1.33274,36,0,1,1,111,106,8.59883,3.30575,0.29552,4.3287
Alek Jacob,2,0,4.17207,1.31216,48,0,1,1,48,44,8.24905,3.43636,0.284386,4.41183
Alek Manoah,1,1,4.14214,1.26733,10,0,1,1,17,16,8.57989,3.283,0.282729,4.25522
Alex Cobb,5,10,3.82144,1.31608,18,0,0,0,95,78,7.4194,2.74374,0.304416,3.6951
Alex Cornwell,0,0,4.13542,1.35272,8,0,1,1,8,6,6.39316,2.70766,0.297262,4.28963
Alex Faedo,3,0,4.21936,1.29537,57,0,11,11,57,55,8.75209,3.32719,0.287178,4.24506
Alex Lange,3,0,3.71044,1.35005,39,0,1,1,39,45,10.2852,4.82654,0.291753,3.71142
Alex Speas,1,0,4.32021,1.50326,16,0,1,1,16,18,9.90915,5.90636,0.295285,4.38652
Alex Vesia,4,0,3.53336,1.19513,58,0,14,14,58,74,11.4191,3.90453,0.277471,3.69532
Alex Wood,4,6,4.66589,1.38207,13,0,0,0,69,57,7.44706,3.20909,0.297645,4.6061
Alex Young,1,0,4.62633,1.41421,22,0,1,1,22,19,7.94118,3.41129,0.302571,4.58649
Alexis Díaz,4,0,4.15329,1.29312,65,28,3,31,65,69,9.6015,4.28024,0.280498,4.21162
Amos Willingham,3,0,4.48833,1.40415,44,0,1,1,44,38,7.69307,3.3871,0.297996,4.52902
