Name,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,FIP
Tarik Skubal,14,22,2.83321,32,0,0,0,198,229,10.4049,1.92804,
Paul Skenes,11,20,3.00668,31,0,0,0,174,214,11.0619,2.57281,
Zack Wheeler,14,20,3.30339,32,0,0,0,202,214,9.52623,2.35845,
Chris Sale,14,20,3.03003,31,0,0,0,182,224,11.0595,2.3029,
Garrett Crochet,13,19,2.9928,31,0,0,0,157,200,11.4806,2.79451,
Jacob deGrom,9,16,2.98788,26,0,0,0,132,178,12.1183,1.83806,
Logan Webb,13,20,3.32444,32,0,0,0,201,171,7.6818,1.97592,
Corbin Burnes,13,19,3.33218,31,0,0,0,188,188,8.99744,2.53143,
Dylan Cease,13,19,3.45993,32,0,0,0,185,218,10.6441,3.36815,
Cole Ragans,12,18,3.50897,31,0,0,0,179,201,10.1139,3.36777,
Sonny Gray,13,18,3.41782,31,0,0,0,181,191,9.49641,2.48156,
Pablo López,13,18,3.69979,32,0,0,0,192,201,9.42677,2.22959,
Yoshinobu Yamamoto,12,16,3.45259,28,0,0,0,163,169,9.3599,2.17841,
Sandy Alcantara,11,17,3.65015,29,0,0,0,190,166,7.88521,2.16294,
Aaron Nola,12,17,3.83837,31,0,0,0,188,185,8.85919,2.05686,
Logan Gilbert,12,19,3.36065,32,0,0,0,196,201,9.23676,1.99726,
George Kirby,12,18,3.42113,31,0,0,0,179,169,8.47407,1.33301,
Tyler Glasnow,10,14,3.31855,24,0,0,0,140,173,11.1103,2.54686,
Blake Snell,11,17,3.44997,29,0,0,0,160,209,11.7906,3.96014,
Max Fried,12,17,3.42456,29,0,0,0,174,162,8.33718,2.58123,
Michael King,13,18,3.46246,31,0,0,0,178,193,9.75235,3.18977,
Framber Valdez,13,18,3.34557,29,0,0,0,181,171,8.47125,2.91394,
Cristopher Sánchez,11,16,3.68027,29,0,0,0,171,147,7.73273,2.44085,
Reynaldo López,11,18,3.56544,31,0,0,0,173,184,9.59568,3.02208,
Kevin Gausman,13,18,3.7872,32,0,0,0,192,189,8.85412,2.51476,
