Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9
Paul Skenes,PIT,SP,BLUE,22,,40.11508505,47.02719336,19,11,20,3.00668,31,0,0,0,174,214,11.0619,2.57281
Aaron Nola,PHI,SP,FA,31,,11.37098509,13.67411959,,12,17,3.83837,31,0,0,0,188,185,8.85919,2.05686
Cole Ragans,KC,SP,BLUE,27,,12.86796048,15.33585434,32,12,18,3.50897,31,0,0,0,179,201,10.1139,3.36777
Luis Castillo,SEA,SP,FA,32,,16.53146013,19.98060611,,12,18,3.56023,31,0,0,0,181,184,9.15104,2.5604
Gerrit Cole,NYY,SP,BLUE,34,,10.10240659,12.02491724,22.5,11,17,3.82317,31,0,0,0,183,191,9.39602,2.49118
Brandon Pfaadt,ARI,SP,FA,26,,1.940558946,2.149433391,,9,11,3.91253,33,0,1,1,138,136,8.88352,2.10907
Yoshinobu Yamamoto,LAD,SP,FA,26,,28.84909719,35.03368003,,12,16,3.45259,28,0,0,0,163,169,9.3599,2.17841
Kevin Gausman,TOR,SP,FA,34,,5.841188468,6.916294455,,13,18,3.7872,32,0,0,0,192,189,8.85412,2.51476
Mitch Keller,PIT,SP,BLUE,28,,-13.82326728,-17.38371412,9,10,16,4.13665,31,0,0,0,180,163,8.13003,2.72205
Luis Gil,NYY,SP,FA,26,,-13.60931167,-16.85367171,,7,9,4.17668,32,0,1,1,114,128,10.0852,4.32398
Brady Singer,CIN,SP,FA,28,,-23.71705067,-29.20608489,,9,14,4.53533,29,0,0,0,167,159,8.61671,2.65985
Erick Fedde,STL,SP,FA,32,,-18.14907166,-22.40159802,,9,15,4.21055,29,0,0,0,164,144,7.90909,2.81807
Spencer Schwellenbach,ATL,SP,FA,24,,11.40516409,13.71588888,,12,16,3.71006,29,0,0,0,165,159,8.67197,2.07616
Tanner Houck,BOS,SP,FA,28,,-5.38623225,-6.804453534,,11,15,3.89899,40,0,1,1,178,160,8.07527,2.73088
Chris Bassitt,TOR,SP,FA,36,,-12.14928496,-15.06940986,,11,16,4.09032,31,0,0,0,177,161,8.19078,3.06556
Carlos Rodon,NYY,SP,BLUE,32,,6.592593892,7.797103437,12,12,16,4.00793,31,0,0,0,171,191,10.0401,2.8405
Brayan Bello,BOS,SP,FA,25,,-16.49370377,-20.37861464,,11,15,4.09139,29,0,0,0,163,150,8.26808,3.21534
Merrill Kelly,ARI,SP,FA,36,,-11.6798645,-14.49574294,,9,14,4.03267,26,0,0,0,149,131,7.89457,2.78278
Aaron Civale,MIL,SP,FA,29,,-15.32227118,-18.94703638,,8,11,4.31437,39,0,1,1,146,136,8.40987,2.68879
Michael Wacha,KC,SP,FA,33,,-14.62931214,-18.10018859,,9,14,4.18041,28,0,0,0,155,132,7.64342,2.64804
Tobias Myers,MIL,SP,FA,26,,-12.96258386,-16.06332195,,8,10,4.19632,42,0,1,1,142,129,8.21493,2.7755
Charlie Morton,BAL,SP,FA,41,,-20.63449115,-25.43896656,,9,14,4.2903,28,0,0,0,154,153,8.91131,3.56358
Roki Sasaki,LAD,SP,FA,23,,21.07592279,25.53427943,,11,14,3.47967,24,0,0,0,135,169,11.3185,2.65697
Jose Quintana,MIL,SP,FA,36,,-26.72572803,-32.88291368,,8,12,4.30568,24,0,0,0,131,108,7.3663,3.52164
Miles Mikolas,STL,SP,FA,36,,-22.93842781,-28.25454951,,9,15,4.45862,31,0,0,0,176,123,6.29175,1.74883
Spencer Arrighetti,HOU,SP,FA,25,,-17.15251683,-21.18373347,,9,13,4.32247,26,0,0,0,138,145,9.42249,3.86639
Jake Irvin,WSH,SP,FA,28,,-22.89428022,-28.20059784,,9,14,4.43507,29,0,0,0,163,135,7.47149,2.8601
Bowden Francis,TOR,SP,FA,28,,-0.980779006,-1.420660119,,11,12,4.1332,36,0,1,1,157,145,8.29143,2.46266
Frankie Montas,NYM,SP,FA,31,,-18.20987288,-22.47590167,,6,9,4.35447,19,0,0,0,102,97,8.5838,3.43346
Nathan Eovaldi,TEX,SP,FA,35,,-0.67712244,-1.049569079,,10,15,3.99059,29,0,0,0,172,163,8.54047,2.38883
Nick Pivetta,SD,SP,FA,32,,1.400783658,1.489787611,,10,14,4.04053,28,0,0,0,154,171,10.0281,2.88678
Nick Martinez,CIN,RP,FA,34,,-6.48428285,-8.146353507,,10,11,3.99469,49,0,1,1,168,143,7.6981,2.30618
Bryan Woo,SEA,SP,FA,25,,8.435830232,10.08714078,,8,14,3.71208,26,0,0,0,134,125,8.40062,1.97042
Andrew Heaney,PIT,RP,FA,33,,-19.50750691,-24.06170751,,7,10,4.51024,35,0,1,1,130,124,8.58218,2.81667
Mitchell Parker,WSH,SP,FA,25,,-21.70713968,-26.7498233,,8,12,4.28713,36,0,1,1,148,131,7.95812,3.35278
Kyle Gibson,(N/A),SP,FA,37,,-27.17501328,-33.43197387,,7,11,4.36011,23,0,0,0,130,110,7.58112,3.3119
Ryan Walker,SF,RP,BLUE,29,,18.77278752,22.34577872,3,5,0,3.03958,68,28,5,33,68,81,10.6964,2.81368
Jason Adam,SD,RP,FA,33,,9.573140041,11.47701845,,5,0,3.34289,67,3,12,15,67,77,10.3919,3.12783
